"UNIT_SEQ"	"DATA_CENTER_CODE"	"NAME"	"DESCRIPTION"
90000074	20	"l-1"	"per litre; example plankton counts or grams per litre; phyto often expressed as cells per litre"
90000028	90	"mm"	"millimetres"
90000000	90	"none"	"none"
90000001	90	"%"	"percent"
90000002	90	"Bq/l"	"Becquerels / litre"
90000003	90	"cc/g"	"millilters STP / gram"
90000004	90	"dbar"	"decibar"
90000005	90	"degrees C"	"degrees Celsius"
90000006	90	"mBq/l"	"milliBecquerels / litre"
90000007	90	"mg C/m**3/day"	"milligrams carbon/(cubic metre * day)"
90000008	90	"mg/l"	"milligrams / litre"
90000009	90	"ml/l"	"millilitres STP / litre"
90000010	90	"p"	"millimoles / kilogram"
90000011	90	"micromol/m**3"	"micromoles / metre**3"
90000012	90	"o/oo PDB"	"parts / thousand, relative to PDB"
90000013	90	"pM"	"picomoles / litre"
90000014	90	"pmole/kg"	"picomoles / kilogram"
90000015	90	"ppmv"	"parts / million (volume)"
90000016	90	"tu"	"tritium units"
90000017	90	"tu81n"	"tritium units (normalized to 1981)"
90000018	90	"ug/g"	"micrograms / gram  (part per million)"
90000019	90	"mg/m3"	"milligrams / metre**3"
90000020	90	"mmol/m3"	"milli mol/metre**3"
90000021	90	"umole/kg"	"micromoles / kilogram"
90000022	90	"uE m-2 s-1"	"microEinsteins / (square metre * sec)"
90000023	90	"m"	"metres"
90000024	90	"pmol m-3 h-1"	"picomoles / (cubic metre * hour)"
90000025	90	"C chl-1 h-1 W-1 m-2"	"mg C / (mg chl_a * hour * watt * square metre )"
90000026	90	"o/oo SMOW"	"parts / thousand, relative to Standard Mean Ocean Water (SMOW)"
90000027	90	"g/kg"	"grams / kilogram"
90000033	90	"mg/m2"	"milligrams / metre**2"
90000034	90	"test units"	"tests / day"
90000037	20	"S/m"	"Siemens per metre"
90000038	90	"hours"	"time (hours)"
90000039	20	"W m-2"	"Watts / square metre"
90000040	20	"mg C mg Chl-1 h-1"	"mg C / (mg Chl_a * hour)"
90000041	20	"mg C/m**3/h"	"milligrams carbon per cubic metre per hour"
90000042	20	"pmol/L/h"	"picomoles / litre / hour"
90000044	20	"kg/m3"	"kilograms / metres**3"
90000045	90	"Millions/l"	"Millions(counts) / litre"
90000048	90	"Volts"	"Instrument voltage response"
90000054	20	"degrees F"	"degrees Fahrenheit"
90000053	30	"cal/mg"	"Calories / milligram"
90000055	90	"umol/m3/day"	"micromoles / cubic metre / day"
90000056	90	"umol/m3/hr"	"micromoles / cubic metre / hour"
90000057	20	"mg O2 m-3 h-1"	"mg O2 m-3 h-1"
90000058	20	"ng/l"	"nanograms / litre"
90000059	20	"cm"	"centimetres"
90000060	20	"pmol/L"	"pmol/L"
90000061	20	"nmol/l"	""
90000062	20	"(mg C m-2hr-1)/I0"	"PP normalized to incident radiation (mg C m-2 hr-1) / (cal m-2 hr-1)"
90000063	20	"(mg C m-2hr-1)/I0Bz"	"PP normalized to incident radiation and phyto biomass(mg C m-2 hr-1) / ((cal m-2 hr-1)(mg Chla m-2))"
90000064	20	"ug at m-3"	""
90000066	20	"m-1"	"per metre"
90000067	20	"ppm"	"parts per million"
90000068	20	"cal / g dry wt"	"calories per gram of dry weight"
90000069	20	"mg/m2/day"	"milligrams / metre**2 / day"
90000070	20	"Micrometer"	"Microscope units, conversion to mm depends upon the ocular power of the microscope."
90000071	20	"per individual"	""
90000072	20	"mg/ind"	"milligrams per individual"
90000073	20	"eggs fem-1 day-1"	"rate measurement - number of eggs produced by an individual female per day"
90000075	20	"mL-1"	"per millilitre; example plankton counts or grams per mL; bacteria often expressed as cells per mL"
90000076	20	"uatm"	"micro atmospheres"
90000077	20	"fmol/kg"	"Femto moles per kilogram"
90000078	20	"NTU"	"Nephelometric turbidity units - measurement of turbidity"
90000079	20	"m-1 sr-1"	"per m per steradian for turbidity measurements"
