original,original_units,ocads,ocads_units,CCHDO,CCHDO_units,biochem,biochem_units,tag,unit_conversion
ammonium (µmol/kg),umol/kg,Ammonium,umol/kg,NH3,UMOL/KG,NH3_3,,btl,
ammonium flag,,Ammonium_flag,,NH3_FLAG_W,,,,btl,
CFC-12 (pmol/kg),pmol/kg,CFC-12,pmol/kg,CFC-12,PMOL/KG,CFC-12,,btl,
CFC-12,,CFC-12,pmol/kg,CFC-12,PMOL/KG,CFC-12,,btl,
CFC-12 flag,,CFC-12_flag,,CFC-12_FLAG_W,,,,btl,
CH4 (nmol/L) in situ,nmol/l,CH4,nmol/L,CH4,NMOL/KG,CH4_nmol/L,,btl,
CH4 flag,,CH4_flag,,CH4_FLAG_W,,,,btl,
Cruise ID,,Cruise_ID,n.a.,NAME,,,,metadata,
day,,Day_UTC,,,,,,metadata,
DIC (µmol/kg),umol/kg,DIC,umol/kg,TCARBN,UMOL/KG,TIC,,btl,
DIC flag,,DIC_flag,,TCARBN_FLAG_W,,,,btl,
"DO (CTD, calibrated, ml/L)",ml/l,CTDOXY,ml/l,CTDOXY,ML/L,O2_CTD_mLL,,ctd,
"DO (CTD, uncalibrated, ml/L)",ml/l,CTDOXY,ml/l,CTDOXY,ML/L,O2_CTD_mLL,,ctd,
"DO (Winkler, ml/L)",ml/l,Oxygen,ml/l,OXYGEN,ML/L,O2_Winkler,,btl,
DO flag,,Oxygen_flag,,OXYGEN_FLAG_W,,,,btl,
event #,,Cast_number,,CASTNO,,COLLECTOR_EVENT_ID,,metadata,
Latitude ,,Latitude,,LATITUDE,,HEADER_START_LAT,,metadata,
Longitude,,Longitude,,LONGITUDE,,HEADER_START_LON,,metadata,
month,,Month_UTC,,,,,,metadata,
Nitrate+nitrite (µmol/kg) ,umol/kg,Nitrate_and_Nitrite,umol/kg,NO2+NO3,UMOL/KG,NO2NO3_0,,btl,
Nitrate+nitrite flag,,Nitrate_and_Nitrite_flag,,NO2+NO3_FLAG_W,,,,btl,
Nitrite (µmol/kg),umol/kg,Nitrite,umol/kg,NITRIT,UMOL/KG,NO2_0,,btl,
Nitrite flag,,Nitrite_flag,,NITRIT_FLAG_W,,,,btl,
"pCO2 (in situ, µatm)",uatm,pCO2_measured,uatm,PCO2,UATM,pCO2,,btl,
pCO2 (µatm) in situ,uatm,pCO2_measured,uatm,PCO2,UATM,pCO2,,btl,
"pCO2 (T=22°C, µatm)",uatm,pCO2_measured,uatm,PCO2,UATM,pCO2,,btl,
pCO2 flag,,pCO2_flag,,PCO2_FLAG_W,,,,btl,
pCO2_22,,pCO2_measured,uatm,PCO2,UATM,,,btl,
pH flag,,pH_flag,,PH_TOT_FLAG_W,,,,btl,
pH spec (T=25°),,pH_T_measured,,PH_TOT,,pH_insitu_total_f,,btl,
phosphate (µmol/kg),umol/kg,Phosphate,umol/kg,PHSPHT,UMOL/KG,PO4_0,,btl,
phosphate flag,,Phosphate_flag,,PHSPHT_FLAG_W,,,,btl,
pHtotal (in situ),,pH_T_measured,,PH_TOT,,pH_insitu_total_f,,btl,
pressure (db),dbar,CTDPRES,dbar,CTDPRS,DBAR,Pressure,,ctd,
Salinometer (PSU),psu,Salinity - bottle,PSU,SALNTY,PSS-78,Salinity_Sal_PSS,,btl,
Salinometer flags,,Salinity - bottle QC,,SALNTY_FLAG_W,,,,btl,
"salinity (CTD, calibrated) (psu)",psu,CTDSAL_PSS78,,CTDSAL,PSS-78,Salinity_CTD,,ctd,
salinity (uncalibrated),,CTDSAL_PSS78,,CTDSAL,PSS-78,Salinity_CTD,,ctd,
sample ID,,Sample_ID,,SAMPNO,,COLLECTOR_SAMPLE_ID,,metadata,
SBE18 pH (sensor) uncorrected,,pH_T_measured (electrode),,CTDPH,,pH_CTD_nocal,,,
SBE18 ph (sensor) uncorrected,,pH_T_measured (electrode),,CTDPH,,pH_CTD_nocal,,ctd,
SF6 (fmol/kg),fmol/kg,SF6,fmol/kg,SF6,FMOL/KG,SF6,,btl,
SF6,,SF6,fmol/kg,SF6,FMOL/KG,SF6,,btl,
SF6 flag,,SF6_flag,,SF6_FLAG_W,,,,btl,
sigma-theta (corrected),,,,,,,,,
sigma-theta,,,,,,,,,
silicate (µmol/kg),umol/kg,Silicate,umol/kg,SILCAT,UMOL/KG,SiO4_0,,btl,
silicate flag,,Silicate_flag,,SILCAT_FLAG_W,,,,btl,
sounding,meters,,,SOUNDING,METERS,,,metadata,
Station ID,,Station_ID,,STNNBR,,COLLECTOR_STATION_NAME,,metadata,
TA (µmol/kg),umol/kg,TA,umol/kg,ALKALI,UMOL/KG,Alkalinity_umol/kg,,btl,
TA flag,,TA_flag,,ALKALI_FLAG_W,,,,btl,
temperature (in situ),deg c,CTDTEMP_ITS90,deg_C,CTDTMP,DEG C,Temp_CTD_1990,,ctd,
theta,,,,,,,,,
time,,Time_UTC,,BTL_TIME,,,,metadata,
year,,Year_UTC,,,,,,metadata,
δ18O (‰),ppt,d18O,ppt,DELO18,/MILLE,O18_Water,,btl,
δ18O flag,,d18O_flag,,DELO18_FLAG_W,,,,btl,
date,,date,,DATE,,EVENT_START,,metadata,
EXPOCODE,,EXPOCODE,,EXPOCODE,,,,metadata,
